facility_record_id,facility_name,company_name,facility_object_type,metric_name,metric_period,metric_value,currency_or_unit,related_object_type,source_doc,source_sheet,source_date,adopted,notes
2160,3S Photonics - Nozay,3S Photonics,晶圆制造工厂,current_full_capacity,current,5000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2160.
2160,3S Photonics - Nozay,3S Photonics,晶圆制造工厂,capacity_200mm_equivalent,current,703.125,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 2160.
1573,ABB Semiconductor - Lenzburg 2,ABB Semiconductor,晶圆制造工厂,current_full_capacity,current,23000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1573.
1573,ABB Semiconductor - Lenzburg 2,ABB Semiconductor,晶圆制造工厂,capacity_200mm_equivalent,current,12937.5,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1573.
1573,ABB Semiconductor - Lenzburg 2,ABB Semiconductor,晶圆制造工厂,cleanroom_area,current,86111,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1573.
1573,ABB Semiconductor - Lenzburg 2,ABB Semiconductor,晶圆制造工厂,facility_size,current,300000,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1573.
1573,ABB Semiconductor - Lenzburg 2,ABB Semiconductor,晶圆制造工厂,project_total_cost,project,75,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1573.
1573,ABB Semiconductor - Lenzburg 2,ABB Semiconductor,晶圆制造工厂,project_construction_cost,project,20,USD million,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1573.
1572,ABB Semiconductor - Lenzburg 1,ABB Semiconductor,晶圆制造工厂,current_full_capacity,current,12000,wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1572.
1572,ABB Semiconductor - Lenzburg 1,ABB Semiconductor,晶圆制造工厂,capacity_200mm_equivalent,current,4687.5,200mm equivalent wafers/month,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1572.
1572,ABB Semiconductor - Lenzburg 1,ABB Semiconductor,晶圆制造工厂,cleanroom_area,current,40364,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1572.
1572,ABB Semiconductor - Lenzburg 1,ABB Semiconductor,晶圆制造工厂,facility_size,current,300000,sq ft,工厂,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,2026-06-25,yes,SEMI WFF Company Detail record 1572.
