nameCn,nameEn,objectTypeName,description,source_url
Intel Xeon 6980P official_rcp 13955 USD/per_processor,,产品价格,Price observation for Intel Xeon 6980P.,https://www.intel.com/content/www/us/en/products/sku/240777/intel-xeon-6980p-processor-504m-cache-2-00-ghz/ordering.html
NVIDIA B200 inference cost benchmark_cost_per_million_tokens 0.02 USD/per_million_tokens,,产品价格,Price observation for NVIDIA B200 inference cost.,https://www.nvidia.com/en-us/data-center/h100/
NVIDIA RTX PRO 6000 Blackwell Workstation Edition official_store_price 13250 USD/per_card,,产品价格,Price observation for NVIDIA RTX PRO 6000 Blackwell Workstation Edition.,https://marketplace.nvidia.com/en-us/enterprise/laptops-workstations/nvidia-rtx-pro-6000-blackwell-workstation-edition/
Raspberry Pi Pico 2 / RP2350 board authorized_reseller_price 6.25 USD/per_board,,产品价格,Price observation for Raspberry Pi Pico 2 / RP2350 board.,https://www.adafruit.com/product/6006
Raspberry Pi Pico 2 / RP2350 board official_board_price 5 USD/per_board,,产品价格,Price observation for Raspberry Pi Pico 2 / RP2350 board.,https://www.raspberrypi.com/news/rp2350-now-available-to-buy-a-high-performance-secure-microcontroller-for-your-next-project/
Raspberry Pi RP2040 bulk_direct_price_3400_reel 0.7 USD/per_chip,,产品价格,Price observation for Raspberry Pi RP2040.,https://www.raspberrypi.com/news/raspberry-pi-direct-buy-rp2040-in-bulk-from-just-0-70/
Raspberry Pi RP2040 bulk_direct_price_500_reel 0.8 USD/per_chip,,产品价格,Price observation for Raspberry Pi RP2040.,https://www.raspberrypi.com/news/raspberry-pi-direct-buy-rp2040-in-bulk-from-just-0-70/
Raspberry Pi RP2040 single_unit_price 1 USD/per_chip,,产品价格,Price observation for Raspberry Pi RP2040.,https://www.raspberrypi.com/news/raspberry-pi-direct-buy-rp2040-in-bulk-from-just-0-70/
Intel Xeon 6780E official_rcp 9535 USD/per_processor,,产品价格,Price observation for Intel Xeon 6780E.,https://www.intel.com/content/www/us/en/products/sku/240362/intel-xeon-6780e-processor-108m-cache-2-20-ghz/ordering.html
AMD EPYC 9965 industry_media_reported_official_1ku_price 14813 USD/per_processor_1ku,,产品价格,Price observation for AMD EPYC 9965.,https://www.tomshardware.com/pc-components/cpus/retailers-quietly-slash-prices-of-amds-and-intels-latest-epyc-and-xeon-cpus-by-up-to-50-percent-inexplicable-price-drops-left-unexplained
Intel Arc B580 Limited Edition official_rcp 249 USD/per_card,,产品价格,Price observation for Intel Arc B580 Limited Edition.,https://www.intel.com/content/www/us/en/products/sku/241598/intel-arc-b580-graphics/ordering.html
NXP LPC55S69-EVK development board official_store_price 44.85 USD/per_board,,产品价格,Price observation for NXP LPC55S69-EVK development board.,https://www.nxp.com/design/design-center/software/development-software/mcuxpresso-software-and-tools-/lpcxpresso-boards/lpcxpresso55s69-development-board%3ALPC55S69-EVK
Microchip ATmega328P-AN authorized_reseller_price 2.88 USD/per_chip,,产品价格,Price observation for Microchip ATmega328P-AN.,https://www.newark.com/microchip/atmega328p-an/microcontroller-mcu-8-bit-atmega/dp/68T2933
TI MSPM0 low-cost MCU family industry_media_reported_1ku_price 0.16 USD/per_chip_1000_units,,产品价格,Price observation for TI MSPM0 low-cost MCU family.,https://www.eejournal.com/article/ti-says-its-mspm0-is-the-worlds-most-teeny-tiny-32-bit-microcontroller-its-smaller-than-a-grain-of-white-rice-and-costs-16-cents/
TI MSPM0C1104 LaunchPad industry_media_reported_board_price 5.99 USD/per_board,,产品价格,Price observation for TI MSPM0C1104 LaunchPad.,https://www.eejournal.com/article/ti-says-its-mspm0-is-the-worlds-most-teeny-tiny-32-bit-microcontroller-its-smaller-than-a-grain-of-white-rice-and-costs-16-cents/
STMicroelectronics STM32G050F6P6 industry_media_reported_10ku_price 0.47 USD/per_chip,,产品价格,Price observation for STMicroelectronics STM32G050F6P6.,https://www.eejournal.com/industry_news/stmicroelectronics-extends-stm32g0-microcontroller-series-with-usb-c-full-speed-dual-role-port-can-fd-and-larger-memory/
STMicroelectronics STM32G0B0KET6 industry_media_reported_10ku_price 1.21 USD/per_chip_10000_units,,产品价格,Price observation for STMicroelectronics STM32G0B0KET6.,https://www.eejournal.com/industry_news/stmicroelectronics-extends-stm32g0-microcontroller-series-with-usb-c-full-speed-dual-role-port-can-fd-and-larger-memory/
Micron 9400 PRO 15.36TB NVMe SSD retail_listing 3342.99 USD/per_ssd,,产品价格,Price observation for Micron 9400 PRO 15.36TB NVMe SSD.,https://www.cdw.com/product/micron-9400-pro-ssd-enterprise-15360-gb-u.3-pcie-4.0-x4-nvme/7299362
Samsung 990 PRO 4TB SSD retail_listing 880 USD/per_ssd,,产品价格,Price observation for Samsung 990 PRO 4TB SSD.,https://www.amazon.com/SAMSUNG-Computing-Workstations-MZ-V9P4T0B-AM/dp/B0CHGT1KFJ
