nameCn,nameEn,objectTypeName,description,source_url
ASML Holding N.V.,,公司,Official ASML product pages confirm EUV and DUV lithography systems.,https://www.asml.com/products/duv-lithography-systems/twinscan-nxt1980di
Advanced Micro Devices Inc.,,公司,Official company/product sources confirm AMD Instinct GPU accelerator products.,https://www.amd.com/en/products/accelerators/instinct/mi300/mi300x.html
Applied Materials Inc.,,公司,"Official Applied Materials pages confirm semiconductor deposition, etch, CMP and other manufacturing equipment.",https://www.appliedmaterials.com/us/en/product-library/mirra-cmp-200mm.html
Cambricon Technologies Corporation Limited,,公司,Official Cambricon sources confirm MLU370 and Siyuan AI accelerator products.,https://www.cambricon.com/
GigaDevice Semiconductor Inc.,,公司,"Official GigaDevice sources confirm SPI NOR, SPI NAND and DRAM products.",https://www.gigadevice.com.cn/product/flash
"GlobalWafers Co., Ltd.",,公司,Official GlobalWafers pages confirm silicon wafer products.,https://www.sas-globalwafers.com/products/
"Huawei Technologies Co., Ltd.",,公司,Official Huawei sources confirm Ascend/Atlas AI computing products.,https://support.huaweicloud.com/eu/productdesc-ecs/ecs_01_0047.html
Intel Corporation,,公司,Official company/product sources confirm Intel Gaudi AI accelerator products; SEMI WFF also lists Intel capacity/spending.,https://newsroom.intel.com/artificial-intelligence/intel-unveils-industry-leading-glass-substrates
KLA Corporation,,公司,"Official KLA pages confirm process control, inspection and metrology systems.",https://www.kla.com/products/pcb-ic-substrate-manufacturing/direct-imaging-patterning
Lam Research Corporation,,公司,"Official Lam Research pages confirm etch, deposition, strip and clean semiconductor equipment.",https://www.lamresearch.com/product/kiyo-product-family/
Micron Technology Inc.,,公司,"Official Micron sources confirm DDR5, HBM3E, GDDR7 and NAND portfolio; SEMI WFF lists Micron memory capacity.",https://www.micron.com/products/memory/hbm/hbm3e
NVIDIA Corporation,,公司,Official company/product sources confirm NVIDIA data-center GPU and AI accelerator products.,https://www.nvidia.com/en-us/data-center/h100/
"ROHM Co., Ltd.",,公司,"Official ROHM pages confirm SiC MOSFET, SiC Schottky barrier diode and GaN HEMT products.",https://www.rohm.com/products/laser-diodes/red-lasers
SUMCO Corporation,,公司,Official SUMCO pages confirm silicon wafer products.,https://www.sumcosi.com/english/products/lineup.html
Samsung Electronics Co. Ltd.,,公司,"Official Samsung Semiconductor sources confirm DRAM, HBM and NAND/V-NAND products; SEMI WFF lists Samsung memory capacity.",https://semiconductor.samsung.com/dram/hbm/hbm3e/
"Shin-Etsu Chemical Co., Ltd.",,公司,Official Shin-Etsu pages confirm semiconductor-grade silicon wafers and SOI wafers.,https://www.shinetsu.co.jp/en/products/electronics-materials/photoresist/
Texas Instruments Incorporated,,公司,SEMI WFF lists Texas Instruments capacity/spending.,https://www.ti.com/product-category/rf-microwave/rf-transceivers-transmitters-receivers/overview.html
Tokyo Electron Limited,,公司,Official TEL pages confirm wafer probers.,https://www.tel.com/product/lithius.html
"Vishay Intertechnology, Inc.",,公司,Official Vishay pages confirm Schottky rectifiers and TVS protection diodes.,https://www.vishay.com/en/optoelectronics/
"Wolfspeed, Inc.",,公司,Official Wolfspeed pages confirm SiC MOSFET and power products.,https://www.wolfspeed.com/products/materials/silicon-carbide-substrates/
onsemi,,公司,"Official onsemi pages confirm MOSFET, IGBT, SiC, diode and power module products.",https://www.onsemi.com/products/interfaces/high-performance-optocouplers/high-performance-transistor-optocouplers
IQE plc,,公司,SEMI WFF 本地数据中的公司主体：IQE plc。,https://www.iqep.com/products/gan/
Axcelis Technologies Inc.,,公司,Axcelis Technologies Inc. verified as supplier for Axcelis Purion H.,https://www.axcelis.com/products/purion-h-high-current-ion-implantation/
DISCO Corporation,,公司,DISCO Corporation verified as supplier for DISCO DAD3350.,https://www.disco.co.jp/eg/products/dicer/dad3350.html
ASMPT Limited,,公司,ASMPT Limited verified as supplier for ASMPT AD832i.,https://semi.asmpt.com/en/products/icd/da/epoxy-da/ad832i/
"Kulicke and Soffa Industries, Inc.",,公司,"Kulicke and Soffa Industries, Inc. verified as supplier for K&S Ball Bonder.",https://www.kns.com/products-services/ball-bonder
