nameCn,nameEn,objectTypeName,description,property.record_id,property.facility_type,property.status,property.city,property.state_province,property.country,property.country_region,property.region,property.address,property.website,property.product_type,property.product_type_2,property.products,property.technology_and_materials,property.current_geometry,property.current_wafer_size,property.current_full_capacity,property.capacity_200mm_equivalent,property.cleanroom_sq_ft,property.cleanroom_class,property.facility_size,property.start_year,property.construction_year,property.first_silicon_year,property.production_year,property.data_source,property.source_sheet,source_url
Advanced Ultraviolet Optoelectronics - Luan UV LED fab,,外延工厂,"Advanced Ultraviolet Optoelectronics 的 Luan UV LED fab，位于 Changzhi, Shanxi, 中国。",5110,晶圆厂/外延片,In production,Changzhi,Shanxi,中国,中国,亚太,Zhangze New Industrial Park,http://www.luan-uv.com/,光电器件/LED,光电器件,UV LEDs,,2,2,20000,1250,,,,2019,2018,2019,2019,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.luan-uv.com/
Aledia - Echirolles R&D and HQ,,外延工厂,"Aledia 的 Echirolles R&D and HQ，位于 Echirolles, Echirolles, 法国。",6235,晶圆厂/外延片，研发，中试线,In production,Echirolles,Echirolles,法国,Europe & Mideast,欧洲,10 Rue des Méridiens,https://www.aledia.com/en,外延片,外延片,"Epitaxy (EPI) : Growing Nanorwires using Nanowire Technology (3D GaN LED) on 6- and 8-inch wafers, selling wafers to other large display makers","microLED, 3D nanowires using GaN-on-silicon (WireLED TM), (Silicon)",,8,500,500,13000,,43000,2020,2018,2020,2020,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.aledia.com/en
Aledia - Champagnier (300mm),,外延工厂,"Aledia 的 Champagnier (300mm)，位于 Champagnier, Le Pont-de-Claix, 法国。",6236,晶圆厂/外延片，研发，中试线,In production,Champagnier,Le Pont-de-Claix,法国,Europe & Mideast,欧洲,"Rue des Lavières, ZAC du Saut du moine",https://www.aledia.com/en,外延片,外延片,"MicroLED for displays.  Epitaxy (EPI) : Growing Nanorwires using Nanowire Technology (3D GaN LED) on 6- and 8-inch wafers, selling wafers to other large display makers","microLED, 3D nanowires using GaN-on-silicon (WireLED TM), (Silicon), GaN",,8,22000,22000,68900,6,218500,2025,2021,2024,2025,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.aledia.com/en
ams-OSRAM - Fab 2  (was OSRAM),,外延工厂,"ams-OSRAM 的 Fab 2  (was OSRAM)，位于 Regensburg, Bavaria, 德国。",1875,晶圆厂/外延片,In production,Regensburg,Bavaria,德国,Europe & Mideast,欧洲,"Leibnizstr. 4,",https://ams-osram.com/,光电器件/LED,光电器件,"InGaN LED, Laser Diodes, Sensors","GaAs, InGaAlP, III-V, SiC, Sapphire",2,6,20000,11250,35521,,,2003,,2011,2011,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
ams-OSRAM - Fab 3 expansion (was OSRAM),,外延工厂,"ams-OSRAM 的 Fab 3 expansion (was OSRAM)，位于 Regensburg, Bavaria, 德国。",2420,晶圆厂/外延片,In production,Regensburg,Bavaria,德国,Europe & Mideast,欧洲,Leibnizstr. 4,https://ams-osram.com/,光电器件/LED,光电器件,"InGaN LED chips, HB-LEDs","GaAs, InGaAlP, III-V, SiC, Sapphire, GaN-on-silicon",2,6,20000,11250,,,,2008,,2011,2012,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
ams-OSRAM - Penang PEN31 (was OSRAM),,外延工厂,"ams-OSRAM 的 Penang PEN31 (was OSRAM)，位于 Penang, Penang, 马来西亚。",2419,晶圆厂/外延片,In production,Penang,Penang,马来西亚,SE Asia,亚太,Bayan Lepas Free Industrial Zone Phase 1,https://ams-osram.com/,光电器件/LED,光电器件,InGaN LED chips,"GaAs, InGaAlP, III-V, SiC, Sapphire",2,6,20000,11250,,100,377000,2009,,2012,2012,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
ams-OSRAM - Penang PEN32 (was OSRAM),,外延工厂,"ams-OSRAM 的 Penang PEN32 (was OSRAM)，位于 Penang, Penang, 马来西亚。",3383,晶圆厂/外延片,In production,Penang,Penang,马来西亚,SE Asia,亚太,"155, Hilir Sungai Kluang 4, Bayan Lepas Industrial Park",https://ams-osram.com/,光电器件/LED,光电器件,InGaN LED,"SiC, Sapphire, Thin Film, InGaN",2,6,20000,11250,,100,,2012,2010,2012,2012,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
ams-OSRAM - 4-inch LED Line (was OSRAM),,外延工厂,"ams-OSRAM 的 4-inch LED Line (was OSRAM)，位于 Regensburg, Bavaria, 德国。",975,晶圆厂/外延片,In production,Regensburg,Bavaria,德国,Europe & Mideast,欧洲,Wernerwerkstrasse 2,https://ams-osram.com/,光电器件/LED,光电器件,"OLED, Opto LED; blue thin-film InGaN LED; SiC substrate for InGaN (GaAs for InGaN).","SiC; GaAs for InGaN, Sapphire",2,4,24000,6000,,,,2011,,,,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
ams-OSRAM - Kulim Fab 1 (phase 1 and 2) (was OSRAM),,外延工厂,"ams-OSRAM 的 Kulim Fab 1 (phase 1 and 2) (was OSRAM)，位于 Kulim, Kedah, 马来西亚。",3825,晶圆厂/外延片,In production,Kulim,Kedah,马来西亚,SE Asia,亚太,"Lot 30, Jalan Hi-Tech 4,",https://ams-osram.com/,光电器件/LED,光电器件,"HB-LED, micro LEDs",LED,2,6,100000,56250,,,538195,2017,2016,2017,2017,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
ams-OSRAM - Kulim Fab 2 MicroLED Line,,外延工厂,"ams-OSRAM 的 Kulim Fab 2 MicroLED Line，位于 Kulim, Kedah, 马来西亚。",6391,晶圆厂/外延片,On hold,Kulim,Kedah,马来西亚,SE Asia,亚太,"Lot 30, Jalan Hi-Tech 4,",https://ams-osram.com/,光电器件/LED,光电器件,"LED, micro-LED on Sapphire and GaAs","LED, micro-LED on Sapphire and GaAs",1,8,50000,50000,100000,,,,2022,,,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://ams-osram.com/
