nameCn,nameEn,objectTypeName,description,property.statistic_period,property.capacity_value,property.wafer_size,property.market_region,property.data_source,property.company_name,property.segment,property.metric_name,property.previous_period_value,property.next_period_value,property.facility_name,property.facility_record_id,property.source_sheet,source_url
ABB Semiconductor 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,42937.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,ABB Semiconductor,all,installed_wafer_capacity,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
ACSMC 2026Q4 logic and micro capacity 逻辑与微器件 (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 logic and micro capacity observation.,2026Q4,8437.5,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,ACSMC,逻辑与微器件,logic_micro_capacity,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
AOS 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,69000,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,AOS,all,installed_wafer_capacity,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Analog Devices Inc 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,133950,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Analog Devices Inc,all,installed_wafer_capacity,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"Anhui Anxin Electronic Technology Co., Ltd. 2026Q4 geometry capacity (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,176093.75,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Anhui Anxin Electronic Technology Co., Ltd.",总计,capacity_by_geometry,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"Anhui Anxin Electronic Technology Co., Ltd. 2026Q4 geometry capacity 810-1300 (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,176093.75,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Anhui Anxin Electronic Technology Co., Ltd.",810-1300,capacity_by_geometry,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"Anhui Anxin Electronic Technology Co., Ltd. 2026Q4 installed wafer capacity (SEMI WFF)",,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,176093.75,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Anhui Anxin Electronic Technology Co., Ltd.",all,installed_wafer_capacity,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Aosong Electronics (ASAIR) 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,38875,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Aosong Electronics (ASAIR),all,installed_wafer_capacity,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Aucksun 2026Q4 installed wafer capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 installed wafer capacity observation.,2026Q4,89375,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Aucksun,all,installed_wafer_capacity,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
BYD Co. Ltd 2026Q4 geometry capacity (SEMI WFF),,晶圆产能,SEMI WFF 2026 Q1 geometry capacity observation.,2026Q4,179375,200mm equivalent,global,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,BYD Co. Ltd,总计,capacity_by_geometry,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
