sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
CXMT (ChangXin Memory Technologies) - CXMT Hefei Fab A3 current wafer capacity (SEMI WFF),CXMT (ChangXin Memory Technologies) - CXMT Hefei Fab A3,晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Ennostar Corporation - Suzhou fab (S01) current wafer capacity (SEMI WFF),Ennostar Corporation - Suzhou fab (S01),晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Nuvoton Technology - BIP (Backend) (was Panasonic) current wafer capacity (SEMI WFF),Nuvoton Technology - BIP (Backend) (was Panasonic),晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Nuvotronics - Durham Fab current wafer capacity (SEMI WFF),Nuvotronics - Durham Fab,晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Origin Electric - Mikasa current wafer capacity (SEMI WFF),Origin Electric - Mikasa,晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #2 and #3 current wafer capacity (SEMI WFF)","Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #2 and #3",晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg#5 current wafer capacity (SEMI WFF)","Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg#5",晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg # 4 current wafer capacity (SEMI WFF)","Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg # 4",晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #1 current wafer capacity (SEMI WFF)","Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #1",晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Silicon Sensing - Silicon Sensing Systems Japan current wafer capacity (SEMI WFF),Silicon Sensing - Silicon Sensing Systems Japan,晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
TDK Corporation - TDK-Tronics Addison current wafer capacity (SEMI WFF),TDK Corporation - TDK-Tronics Addison,晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Teledyne Electronics and Communications - Microwave current wafer capacity (SEMI WFF),Teledyne Electronics and Communications - Microwave,晶圆产能统计对象后道工厂,晶圆产能,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
