sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Advanced Ultraviolet Optoelectronics - Luan UV LED fab current wafer capacity (SEMI WFF),Advanced Ultraviolet Optoelectronics - Luan UV LED fab,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aledia - Echirolles R&D and HQ current wafer capacity (SEMI WFF),Aledia - Echirolles R&D and HQ,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aledia - Champagnier (300mm) current wafer capacity (SEMI WFF),Aledia - Champagnier (300mm),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Fab 2  (was OSRAM) current wafer capacity (SEMI WFF),ams-OSRAM - Fab 2  (was OSRAM),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Fab 3 expansion (was OSRAM) current wafer capacity (SEMI WFF),ams-OSRAM - Fab 3 expansion (was OSRAM),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Penang PEN31 (was OSRAM) current wafer capacity (SEMI WFF),ams-OSRAM - Penang PEN31 (was OSRAM),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Penang PEN32 (was OSRAM) current wafer capacity (SEMI WFF),ams-OSRAM - Penang PEN32 (was OSRAM),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - 4-inch LED Line (was OSRAM) current wafer capacity (SEMI WFF),ams-OSRAM - 4-inch LED Line (was OSRAM),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Kulim Fab 1 (phase 1 and 2) (was OSRAM) current wafer capacity (SEMI WFF),ams-OSRAM - Kulim Fab 1 (phase 1 and 2) (was OSRAM),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Kulim Fab 2 MicroLED Line current wafer capacity (SEMI WFF),ams-OSRAM - Kulim Fab 2 MicroLED Line,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Kulim EPI Line current wafer capacity (SEMI WFF),ams-OSRAM - Kulim EPI Line,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Applied Optoelectronics - Fab 1 current wafer capacity (SEMI WFF),Applied Optoelectronics - Fab 1,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
APT Electronics Ltd. - Nansha base (phase 1) current wafer capacity (SEMI WFF),APT Electronics Ltd. - Nansha base (phase 1),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"AquaLite Co., Ltd - n/a current wafer capacity (SEMI WFF)","AquaLite Co., Ltd - n/a",晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Arima Optoelectronics Corp. - Hsinchu Fab 2 current wafer capacity (SEMI WFF),Arima Optoelectronics Corp. - Hsinchu Fab 2,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Arima Optoelectronics Corp. - Hsinchu Fab 1 current wafer capacity (SEMI WFF),Arima Optoelectronics Corp. - Hsinchu Fab 1,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aucksun - Huaian (phase 3) current wafer capacity (SEMI WFF),Aucksun - Huaian (phase 3),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aucksun - Huaian (phase 2) current wafer capacity (SEMI WFF),Aucksun - Huaian (phase 2),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aucksun - Huaian (phase 1) current wafer capacity (SEMI WFF),Aucksun - Huaian (phase 1),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BluGlass Limited - EpiBlu current wafer capacity (SEMI WFF),BluGlass Limited - EpiBlu,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bridgelux - Livermore current wafer capacity (SEMI WFF),Bridgelux - Livermore,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Brightintelligence Technologies - Zhong Shan fab current wafer capacity (SEMI WFF),Brightintelligence Technologies - Zhong Shan fab,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Cactus Materials - Epitaxy Fab current wafer capacity (SEMI WFF),Cactus Materials - Epitaxy Fab,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Cengol Semiconductor (Century Goldray) - SiC Wafer and Device Fab current wafer capacity (SEMI WFF),Cengol Semiconductor (Century Goldray) - SiC Wafer and Device Fab,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Cengol Semiconductor (Century Goldray) - Hefei SiC Wafer Fab current wafer capacity (SEMI WFF),Cengol Semiconductor (Century Goldray) - Hefei SiC Wafer Fab,晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Changelight Co., Ltd - Yangzhou fab current wafer capacity (SEMI WFF)","Changelight Co., Ltd - Yangzhou fab",晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Changelight Co., Ltd - Nanchang fab current wafer capacity (SEMI WFF)","Changelight Co., Ltd - Nanchang fab",晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Changelight Co., Ltd - Xiamen fab current wafer capacity (SEMI WFF)","Changelight Co., Ltd - Xiamen fab",晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Citizen Holdings Co., Ltd. - Yamanashi plant current wafer capacity (SEMI WFF)","Citizen Holdings Co., Ltd. - Yamanashi plant",晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Coherent (was II-VI Incorporated) - Fab 1 (was Epiworks) current wafer capacity (SEMI WFF),Coherent (was II-VI Incorporated) - Fab 1 (was Epiworks),晶圆产能统计对象外延工厂,晶圆产能,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
