sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Beijing Yandong (YDME) 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
CR Microelectronics 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
CanSemi 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
DB HiTek (was Dongbu Hi Tek) 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
Episil-Precision Inc. 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
Fujian Jin Hua Semiconductor 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
GF (Globalfoundries) 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
GTA Semiconductor 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
GTX Semiconductor 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
HangZhou HFC Semiconductor 2026Q4 foundry installed capacity foundry (SEMI WFF),SEMI WFF wafer foundry market scope,晶圆产能统计对象晶圆代工,晶圆产能,晶圆代工,统计对象,SEMI_WFF_2026_1Q.xlsx
