sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
3S Photonics - Nozay current wafer capacity (SEMI WFF),3S Photonics - Nozay,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ABB Semiconductor - Lenzburg 2 current wafer capacity (SEMI WFF),ABB Semiconductor - Lenzburg 2,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ABB Semiconductor - Lenzburg 1 current wafer capacity (SEMI WFF),ABB Semiconductor - Lenzburg 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ABB Semiconductor - Lenzburg 3 current wafer capacity (SEMI WFF),ABB Semiconductor - Lenzburg 3,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ABLIC Inc. - #A current wafer capacity (SEMI WFF),ABLIC Inc. - #A,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Acenpower - Acenpower 6-inch Line current wafer capacity (SEMI WFF),Acenpower - Acenpower 6-inch Line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Acenpower - Acenpower 8-inch SiC Line current wafer capacity (SEMI WFF),Acenpower - Acenpower 8-inch SiC Line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ACSMC - Fab 1 current wafer capacity (SEMI WFF),ACSMC - Fab 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Advanced Microelectronic Products Inc. (AMPI) - Fab 1 current wafer capacity (SEMI WFF),Advanced Microelectronic Products Inc. (AMPI) - Fab 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Agiltron - Woburn (shared with Sensera) current wafer capacity (SEMI WFF),Agiltron - Woburn (shared with Sensera),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab current wafer capacity (SEMI WFF)","Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Alphion Corporation - Princeton Junction current wafer capacity (SEMI WFF),Alphion Corporation - Princeton Junction,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Alps Electric Co., Ltd. - Nagaoka Plant current wafer capacity (SEMI WFF)","Alps Electric Co., Ltd. - Nagaoka Plant",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
