sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
ABLIC Inc. - #B current wafer capacity (SEMI WFF),ABLIC Inc. - #B,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AIST - TIA-MEMS Line (Building 3D) current wafer capacity (SEMI WFF),AIST - TIA-MEMS Line (Building 3D),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AIST - TIA-Power Electronics Line (inside AIST-Centra) current wafer capacity (SEMI WFF),AIST - TIA-Power Electronics Line (inside AIST-Centra),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AIST - Super Clean Room current wafer capacity (SEMI WFF),AIST - Super Clean Room,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Analog Devices Inc - ADI Catalyst R&D current wafer capacity (SEMI WFF),Analog Devices Inc - ADI Catalyst R&D,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Angstrem - Fab 2 (Angstrem T) current wafer capacity (SEMI WFF),Angstrem - Fab 2 (Angstrem T),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Apple Inc. - Aria current wafer capacity (SEMI WFF),Apple Inc. - Aria,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Apple Inc. - Taiwan Apple LLC (was Qualcomm MEMS Technologies Mirasol) current wafer capacity (SEMI WFF),Apple Inc. - Taiwan Apple LLC (was Qualcomm MEMS Technologies Mirasol),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Argonne National Laboratory - Center for Nanoscale Materials current wafer capacity (SEMI WFF),Argonne National Laboratory - Center for Nanoscale Materials,晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Army Research Laboratory (ARL) - Army Research Laboratory (ARL) current wafer capacity (SEMI WFF),Army Research Laboratory (ARL) - Army Research Laboratory (ARL),晶圆产能统计对象研发中试工厂,晶圆产能,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
