nameCn,nameEn,objectTypeName,description,property.record_id,property.facility_type,property.status,property.city,property.state_province,property.country,property.country_region,property.region,property.address,property.website,property.product_type,property.product_type_2,property.products,property.technology_and_materials,property.current_geometry,property.current_wafer_size,property.current_full_capacity,property.capacity_200mm_equivalent,property.cleanroom_sq_ft,property.cleanroom_class,property.facility_size,property.start_year,property.construction_year,property.first_silicon_year,property.production_year,property.data_source,property.source_sheet,source_url
3S Photonics - Nozay,,晶圆制造工厂,"3S Photonics 的 Nozay，位于 Nozay, Île-de-France, 法国。",2160,晶圆厂，研发,In production,Nozay,Île-de-France,法国,Europe & Mideast,欧洲,Route De Villejust,http://www.3sphotonics.com/,光电器件/激光器及其他,光电器件,"Foundry, InP and GaAs wafers, opto lasers, detectors, pump modules, optical interfaces and amplifiers.","InP, GaAs and LiNBO3 lasers",1.5,3,5000,703.125,,,,1994,1993,1994,1994,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.3sphotonics.com/
ABB Semiconductor - Lenzburg 2,,晶圆制造工厂,"ABB Semiconductor 的 Lenzburg 2，位于 Lenzburg, Aargau, 瑞士。",1573,晶圆厂,in production,Lenzburg,Aargau,瑞士,Europe & Mideast,欧洲,3 Fabrikstrasse,http://www.abb.com/semiconductors,Discrete/Power,分立器件,Power IGBTS,Bipolar MOS SIC,1,6,23000,12937.5,86111,10,300000,1998,1997,1998,1998,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.abb.com/semiconductors
ABB Semiconductor - Lenzburg 1,,晶圆制造工厂,"ABB Semiconductor 的 Lenzburg 1，位于 Lenzburg, Aargau, 瑞士。",1572,晶圆厂,in production,Lenzburg,Aargau,瑞士,Europe & Mideast,欧洲,3 Fabrikstrasse,http://www.abb.com/semiconductors,Discrete/Thyristor,分立器件,"Power, Thyristors Diodes IGBTS",Bipolar MOS SIC,3,5,12000,4687.5,40364,100,300000,1975,1973,1975,1975,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.abb.com/semiconductors
ABB Semiconductor - Lenzburg 3,,晶圆制造工厂,"ABB Semiconductor 的 Lenzburg 3，位于 Lenzburg, Aargau, 瑞士。",3517,晶圆厂,In production,Lenzburg,Aargau,瑞士,Europe & Mideast,欧洲,Fabrikstrasse 3,http://www.abb.com/semiconductors,Discrete/Power,分立器件,"Power, IGBT, Thyristor, IGCT, GTOs (Gate Turn-off Thyristors), Silicon Surge Voltage Suppressors","MOS, BIMOS",1,6,45000,25312.5,27000,100,,2010,2008,2010,2010,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.abb.com/semiconductors
ABLIC Inc. - #A,,晶圆制造工厂,"ABLIC Inc. 的 #A，位于 Matsudo, Chiba, 日本。",898,晶圆厂,in production,Matsudo,Chiba,日本,日本,日本,563 Takatsuka Shinden,https://www.ablic.com/,Analog&Mixed Signal&Power,模拟,"Power management ICs, EEPROM, Timer ICs, Sensors, Analog ICs, Automotive ICs",CMOS,0.35,6,20000,11250,,,,1979,,2007,2007,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.ablic.com/
Acenpower - Acenpower 6-inch Line,,晶圆制造工厂,"Acenpower 的 Acenpower 6-inch Line，位于 Guanzhou, Guandong, 中国。",6493,晶圆厂,In production,Guanzhou,Guandong,中国,中国,亚太,"No. 18 Zhengxiang Road, Wanqingsha Town, Nansha District",https://www.ascenpower.com/index.php/intro/,代工/功率,分立器件,SiC MosFET,SiC,0.5,6,20000,11250,,,,2023,2021,2023,2023,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.ascenpower.com/index.php/intro/
Acenpower - Acenpower 8-inch SiC Line,,晶圆制造工厂,"Acenpower 的 Acenpower 8-inch SiC Line，位于 Guanzhou, Guandong, 中国。",6494,晶圆厂,In production,Guanzhou,Guandong,中国,中国,亚太,"No. 18 Zhengxiang Road, Wanqingsha Town, Nansha District",https://www.ascenpower.com/index.php/intro/,代工/功率,分立器件,,SiC,0.5,8,20000,20000,,,,2025,2024,2025,2025,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.ascenpower.com/index.php/intro/
ACSMC - Fab 1,,晶圆制造工厂,"ACSMC 的 Fab 1，位于 Zhuhai, Guangdong, 中国。",2062,晶圆厂,In production,Zhuhai,Guangdong,中国,中国,亚太,"Jian Ye 5th Road, No. 2  Nanker Building",www.nanker.com,Logic/Other,逻辑与微器件,"Consumer IC, Power MOSFET",CMOS,0.5,6,15000,8437.5,,,,2001,1999,2001,2001,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Advanced Microelectronic Products Inc. (AMPI) - Fab 1,,晶圆制造工厂,"Advanced Microelectronic Products Inc. (AMPI) 的 Fab 1，位于 Hsinchu, Northern Taiwan, 中国台湾。",25,晶圆厂,in production,Hsinchu,Northern Taiwan,中国台湾,中国台湾,亚太,"18 R&D Road 2, Science Based Industrial  Park",http://www.AMPI.com.tw,代工/功率,分立器件,"Digital Driver Power IC LCD Drivers, Power MOSFET, Rectifier",CMOS Bipolar,0.5,6,54000,30375,,10,,1988,1986,1988,1988,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.AMPI.com.tw
Agiltron - Woburn (shared with Sensera),,晶圆制造工厂,"Agiltron 的 Woburn (shared with Sensera)，位于 Woburn, Massachusetts, 美国。",5077,晶圆厂，研发,In production,Woburn,Massachusetts,美国,美洲,NA,15 President Way,,MEMS/Opto,MEMS,"Optical MEMS, MEMS switches",MEMS,1,6,700,393.75,5000,,,2010,2010,2011,2011,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/SEMI_WFF_2026_1Q.xlsx
