nameCn,nameEn,objectTypeName,description,property.record_id,property.facility_type,property.status,property.city,property.state_province,property.country,property.country_region,property.region,property.address,property.website,property.product_type,property.product_type_2,property.products,property.technology_and_materials,property.current_geometry,property.current_wafer_size,property.current_full_capacity,property.capacity_200mm_equivalent,property.cleanroom_sq_ft,property.cleanroom_class,property.facility_size,property.start_year,property.construction_year,property.first_silicon_year,property.production_year,property.data_source,property.source_sheet,source_url
ABLIC Inc. - #B,,研发中试工厂,"ABLIC Inc. 的 #B，位于 Matsudo, Chiba, 日本。",897,Pilot,in production,Matsudo,Chiba,日本,日本,日本,563 Takatsuka Shinden,https://www.ablic.com/,Analog&Mixed Signal&Power,模拟,"Power management ICs, EEPROM, Timer ICs, Sensors, Analog ICs, Automotive ICs",CMOS,0.35,6,5000,2812.5,,10,,1987,1985,1987,1987,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.ablic.com/
AIST - TIA-MEMS Line (Building 3D),,研发中试工厂,"AIST 的 TIA-MEMS Line (Building 3D)，位于 Tsukuba, Ibaraki, 日本。",3797,研发，中试线,In production,Tsukuba,Ibaraki,日本,日本,日本,1-2-1 Namiki,http://www.aist.go.jp,MEMS,MEMS,"MEMS, Sensors","MEMS, TSV",0.5,8,1500,1500,,,,2011,2010,2011,2000,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.aist.go.jp
AIST - TIA-Power Electronics Line (inside AIST-Centra),,研发中试工厂,"AIST 的 TIA-Power Electronics Line (inside AIST-Centra)，位于 Tsukuba, Ibaraki, 日本。",3867,研发,In production,Tsukuba,Ibaraki,日本,日本,日本,1-1-1 Higashi,http://www.aist.go.jp,Discrete/Power,分立器件,Power Device using SiC wafers,"SiC, GaAs, III-V",0.35,8,500,500,,,,2015,2014,2015,2015,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.aist.go.jp
AIST - Super Clean Room,,研发中试工厂,"AIST 的 Super Clean Room，位于 Tsukuba, Ibaraki, 日本。",1782,研发,In production,Tsukuba,Ibaraki,日本,日本,日本,16-1 Onogawa,http://www.aist.go.jp,代工/研发,其他,"Foundry; R&D Soc, Cu, Low-K and High-K",CMOS,0.032,12,5000,11250,48438,10,,2002,2001,2002,2002,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.aist.go.jp
Analog Devices Inc - ADI Catalyst R&D,,研发中试工厂,"Analog Devices Inc 的 ADI Catalyst R&D，位于 Limerick, Munster, 爱尔兰。",6458,研发,In production,Limerick,Munster,爱尔兰,Europe & Mideast,欧洲,Raheen Business Park,http://www.analog.com,Analog&Mixed Signal&Power,模拟,"collaboration accelerator where ecosystems of customers, business partners, and suppliers engage with ADI to rapidly develop industry-leading solutions",,0.18,8,250,250,,,100000,2025,2022,2024,2025,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.analog.com
Angstrem - Fab 2 (Angstrem T),,研发中试工厂,"Angstrem 的 Fab 2 (Angstrem T)，位于 Zelenograd, Moscow, 俄罗斯。",1485,研发,In production,Zelenograd,Moscow,俄罗斯,Europe & Mideast,欧洲,"Solnechnaya Alleya, дом 6",http://www.angstrem.ru/english/,Foundry/IDM/Analog&Mixed Signal&Power,模拟,"Foundry; I/Os, Mixed Signal (for such as e-passport), Embedded Flash Memory, HV50","CMOS, Cu",0.09,8,15000,15000,64583,1000,860000,2017,2012,2017,2017,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.angstrem.ru/english/
Apple Inc. - Aria,,研发中试工厂,"Apple Inc. 的 Aria，位于 Santa Clara, California, 美国。",1614,研发,In production,Santa Clara,California,美国,美洲,NA,3250 Scott Boulevard,https://www.apple.com,研发,Other,Logic/MCU,CMOS; Bipolar,0.25,8,500,500,15000,1,66000,1997,2005,2016,,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.apple.com
Apple Inc. - Taiwan Apple LLC (was Qualcomm MEMS Technologies Mirasol),,研发中试工厂,"Apple Inc. 的 Taiwan Apple LLC (was Qualcomm MEMS Technologies Mirasol)，位于 Taoyuan, Northern Taiwan, 中国台湾。",4966,研发,In production,Taoyuan,Northern Taiwan,中国台湾,中国台湾,亚太,"No.55, Longyuan 10th Rd",https://www.apple.com,MEMS/R&D,MEMS,IMOD Displays Micromirrors,IMOD Display,0.5,6,500,281.25,,,,2012,2011,2012,2012,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,https://www.apple.com
Argonne National Laboratory - Center for Nanoscale Materials,,研发中试工厂,"Argonne National Laboratory 的 Center for Nanoscale Materials，位于 Argonne, Illinois, 美国。",2457,研发,In production,Argonne,Illinois,美国,美洲,NA,9700 South Cass Avenue,www.anl.gov,研发,Other,Patterning and fabrication,"NEMS, NOEMS",0.01,8,50,50,11500,100,88000,2007,2005,2006,2007,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Army Research Laboratory (ARL) - Army Research Laboratory (ARL),,研发中试工厂,"Army Research Laboratory (ARL) 的 Army Research Laboratory (ARL)，位于 Adelphi, Maryland, 美国。",36,Pilot,in production,Adelphi,Maryland,美国,美洲,NA,2800 Powder Mill Road,http://www.arl.army.mil,Pilot,Other,Electro-optical technologies; flexible displays; advanced RF technologies; electronic materials and devices; autonomous sensing; micro autonomous technologies,N/A,0.8,5,5000,1953.125,,10,,1987,1985,1987,1987,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.arl.army.mil
