nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value,property.facility_name,property.facility_record_id,property.source_sheet,source_url
AOS 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,40,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,AOS,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
AOS 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,44,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,AOS,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Acenpower 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,205,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Acenpower,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Analog Devices Inc 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,534.2,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Analog Devices Inc,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"Anhui Anxin Electronic Technology Co., Ltd. 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,66,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Anhui Anxin Electronic Technology Co., Ltd.",,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Anhui YOFC Advanced Semiconductor (YASC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,200,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Anhui YOFC Advanced Semiconductor (YASC),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Aosong Electronics (ASAIR) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,120.32,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Aosong Electronics (ASAIR),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Apple Inc. 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Apple Inc.,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
BYD Co. Ltd 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,529.5999999999999,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,BYD Co. Ltd,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Beijing MXTronics Corp. 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Beijing MXTronics Corp.,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
