sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
CXMT (ChangXin Memory Technologies) - CXMT Hefei Fab A3 project capital expenditure (SEMI WFF),CXMT (ChangXin Memory Technologies) - CXMT Hefei Fab A3,资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Ennostar Corporation - Suzhou fab (S01) project capital expenditure (SEMI WFF),Ennostar Corporation - Suzhou fab (S01),资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Intel - Fab 10 (was IFO) project capital expenditure (SEMI WFF),Intel - Fab 10 (was IFO),资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Intel - Fab 9 (3D Advanced Packaging) project capital expenditure (SEMI WFF),Intel - Fab 9 (3D Advanced Packaging),资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Kioxia/WD (was Flash Alliance) - Fab 1 project capital expenditure (SEMI WFF),Kioxia/WD (was Flash Alliance) - Fab 1,资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Nuvotronics - Durham Fab project capital expenditure (SEMI WFF),Nuvotronics - Durham Fab,资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
onsemi - Nampa project capital expenditure (SEMI WFF),onsemi - Nampa,资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Samsung - Copper fab (Austin 1, BEOL) project capital expenditure (SEMI WFF)","Samsung - Copper fab (Austin 1, BEOL)",资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - Line 15-Cu processing project capital expenditure (SEMI WFF),Samsung - Line 15-Cu processing,资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - S1-B Line BEOL (former Line 9 & Line 8) project capital expenditure (SEMI WFF),Samsung - S1-B Line BEOL (former Line 9 & Line 8),资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - TSV (was N Line) project capital expenditure (SEMI WFF),Samsung - TSV (was N Line),资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Samsung - Line 10 project capital expenditure (SEMI WFF),Samsung - Line 10,资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #2 and #3 project capital expenditure (SEMI WFF)","Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #2 and #3",资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg#5 project capital expenditure (SEMI WFF)","Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg#5",资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg # 4 project capital expenditure (SEMI WFF)","Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg # 4",资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #1 project capital expenditure (SEMI WFF)","Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #1",资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Silicon Sensing - Silicon Sensing Systems Japan project capital expenditure (SEMI WFF),Silicon Sensing - Silicon Sensing Systems Japan,资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
TDK Corporation - TDK-Tronics Addison project capital expenditure (SEMI WFF),TDK Corporation - TDK-Tronics Addison,资本开支统计对象后道工厂,资本开支,后道工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
