sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Advanced Ultraviolet Optoelectronics - Luan UV LED fab project capital expenditure (SEMI WFF),Advanced Ultraviolet Optoelectronics - Luan UV LED fab,资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aledia - Echirolles R&D and HQ project capital expenditure (SEMI WFF),Aledia - Echirolles R&D and HQ,资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Aledia - Champagnier (300mm) project capital expenditure (SEMI WFF),Aledia - Champagnier (300mm),资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
ams-OSRAM - Fab 2  (was OSRAM) project capital expenditure (SEMI WFF),ams-OSRAM - Fab 2  (was OSRAM),资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Fab 3 expansion (was OSRAM) project capital expenditure (SEMI WFF),ams-OSRAM - Fab 3 expansion (was OSRAM),资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Penang PEN31 (was OSRAM) project capital expenditure (SEMI WFF),ams-OSRAM - Penang PEN31 (was OSRAM),资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Penang PEN32 (was OSRAM) project capital expenditure (SEMI WFF),ams-OSRAM - Penang PEN32 (was OSRAM),资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - 4-inch LED Line (was OSRAM) project capital expenditure (SEMI WFF),ams-OSRAM - 4-inch LED Line (was OSRAM),资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Kulim Fab 2 MicroLED Line project capital expenditure (SEMI WFF),ams-OSRAM - Kulim Fab 2 MicroLED Line,资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - Kulim EPI Line project capital expenditure (SEMI WFF),ams-OSRAM - Kulim EPI Line,资本开支统计对象外延工厂,资本开支,外延工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
