sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
ABB Semiconductor - Lenzburg 2 project capital expenditure (SEMI WFF),ABB Semiconductor - Lenzburg 2,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ABLIC Inc. - #A project capital expenditure (SEMI WFF),ABLIC Inc. - #A,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Acenpower - Acenpower 6-inch Line project capital expenditure (SEMI WFF),Acenpower - Acenpower 6-inch Line,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ACSMC - Fab 1 project capital expenditure (SEMI WFF),ACSMC - Fab 1,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Agiltron - Woburn (shared with Sensera) project capital expenditure (SEMI WFF),Agiltron - Woburn (shared with Sensera),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab project capital expenditure (SEMI WFF)","Akoustis - STC-MEMS (was SUNY Poly, Infotonics)  former XEROX fab",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Alphion Corporation - Princeton Junction project capital expenditure (SEMI WFF),Alphion Corporation - Princeton Junction,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
ams-OSRAM - AMS 200 (was ams AG) project capital expenditure (SEMI WFF),ams-OSRAM - AMS 200 (was ams AG),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
ams-OSRAM - JTC NanoSpace (was ams AG) project capital expenditure (SEMI WFF),ams-OSRAM - JTC NanoSpace (was ams AG),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Angstrem - Angstrem Plus (Fab 0) (basic) project capital expenditure (SEMI WFF),Angstrem - Angstrem Plus (Fab 0) (basic),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
