sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
AIST - TIA-MEMS Line (Building 3D) project capital expenditure (SEMI WFF),AIST - TIA-MEMS Line (Building 3D),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AIST - TIA-Power Electronics Line (inside AIST-Centra) project capital expenditure (SEMI WFF),AIST - TIA-Power Electronics Line (inside AIST-Centra),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
AIST - Super Clean Room project capital expenditure (SEMI WFF),AIST - Super Clean Room,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Analog Devices Inc - ADI Catalyst R&D project capital expenditure (SEMI WFF),Analog Devices Inc - ADI Catalyst R&D,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Angstrem - Fab 2 (Angstrem T) project capital expenditure (SEMI WFF),Angstrem - Fab 2 (Angstrem T),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Apple Inc. - Aria project capital expenditure (SEMI WFF),Apple Inc. - Aria,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Apple Inc. - Taiwan Apple LLC (was Qualcomm MEMS Technologies Mirasol) project capital expenditure (SEMI WFF),Apple Inc. - Taiwan Apple LLC (was Qualcomm MEMS Technologies Mirasol),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Argonne National Laboratory - Center for Nanoscale Materials project capital expenditure (SEMI WFF),Argonne National Laboratory - Center for Nanoscale Materials,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
A-STAR IME (Institute of Microelectronics) (A*STAR IME) - Cleanroom 1 project capital expenditure (SEMI WFF),A-STAR IME (Institute of Microelectronics) (A*STAR IME) - Cleanroom 1,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
A-STAR IME (Institute of Microelectronics) (A*STAR IME) - Cleanroom 2 (MEMS & Wafer Level Packaging) project capital expenditure (SEMI WFF),A-STAR IME (Institute of Microelectronics) (A*STAR IME) - Cleanroom 2 (MEMS & Wafer Level Packaging),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
