company_name,metric_name,metric_period,metric_value,currency_or_unit,segment,related_object_type,source_doc,source_sheet,source_date,adopted,notes
TSMC,construction_spending,2025,7750,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 11."
TSMC,construction_spending,2026,12800,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 11."
TSMC,construction_spending,2027,15590,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 11."
TSMC,equipment_spending,2025,24887.2,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Equipment spending table, row 11."
TSMC,equipment_spending,2026,32140.2,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Equipment spending table, row 11."
TSMC,equipment_spending,2027,36263.2,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Equipment spending table, row 11."
SK Hynix,construction_spending,2025,3630,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 12."
SK Hynix,construction_spending,2026,5700,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 12."
SK Hynix,construction_spending,2027,4300,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 12."
Samsung,equipment_spending,2025,15132.4,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Equipment spending table, row 12."
Samsung,equipment_spending,2026,20379.4,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Equipment spending table, row 12."
Samsung,equipment_spending,2027,23315.4,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Equipment spending table, row 12."
Samsung,construction_spending,2025,2125,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 13."
Samsung,construction_spending,2026,4425,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 13."
Samsung,construction_spending,2027,4875,USD million,all,资本开支,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Spending by Company,2026-06-17,yes,"Construction spending table, row 13."
