nameCn,nameEn,objectTypeName,description
AMD Instinct MI300X,,GPU,AMD Instinct data-center GPU accelerator for AI and HPC.
AMD Instinct MI325X,,GPU,AMD Instinct MI300-series GPU accelerator.
AMD Instinct MI350 Series,,GPU,AMD CDNA 4 data-center GPU accelerator series for AI/HPC.
MetaX C500 GPU accelerator,,GPU,MetaX C-series GPU accelerator product.
MetaX N100 GPU accelerator,,GPU,MetaX N-series GPU accelerator product.
MetaX N260 GPU accelerator,,GPU,MetaX N-series GPU accelerator product.
NVIDIA B200 Tensor Core GPU,,GPU,Blackwell-generation data-center GPU used in B200/DGX B200 systems.
NVIDIA Blackwell Ultra GPU,,GPU,Blackwell Ultra architecture family GPU for AI factories.
NVIDIA H100 Tensor Core GPU,,GPU,NVIDIA Hopper-generation data-center GPU for AI and HPC.
NVIDIA H200 Tensor Core GPU,,GPU,Data-center GPU product in NVIDIA H200 family.
NVIDIA Rubin GPU,,GPU,Rubin-generation data-center GPU referenced by NVIDIA HGX platform.
