nameCn,nameEn,objectTypeName,description
AGY Holding Corp.,,公司,Official AGY materials pages confirm L Glass/E-glass fiber yarn for PCB fabrics.
"ASE Technology Holding Co., Ltd.",,公司,Official ASE pages confirm semiconductor assembly and test services.
ASML Holding N.V.,,公司,Official ASML product pages confirm EUV and DUV lithography systems.
AT&S Austria Technologie & Systemtechnik AG,,公司,Official AT&S pages confirm high-end PCBs and IC substrates.
Advanced Micro Devices Inc.,,公司,Official company/product sources confirm AMD Instinct GPU accelerator products.
Advantest Corporation,,公司,Official Advantest pages confirm SoC and memory automated test systems.
Amkor Technology Inc.,,公司,Official Amkor pages confirm semiconductor packaging and test services.
Applied Materials Inc.,,公司,"Official Applied Materials pages confirm semiconductor deposition, etch, CMP and other manufacturing equipment."
Arm Holdings plc,,公司,Official Arm pages confirm processor IP portfolio.
Bosch Sensortec GmbH,,公司,"Official Bosch Sensortec pages confirm MEMS accelerometers, gyroscopes, magnetometers, pressure, humidity and gas sensors."
"Cadence Design Systems, Inc.",,公司,Official Cadence pages confirm EDA software and IP.
Cambricon Technologies Corporation Limited,,公司,Official Cambricon sources confirm MLU370 and Siyuan AI accelerator products.
ChangXin Memory Technologies Inc.,,公司,Official CXMT sources confirm DRAM products including DDR5 and LPDDR5/5X; SEMI WFF lists CXMT memory capacity.
Episil-Precision Inc.,,公司,SEMI WFF lists Episil-Precision foundry capacity.
"FormFactor, Inc.",,公司,Official FormFactor pages confirm probe cards and probe systems.
GigaDevice Semiconductor Inc.,,公司,"Official GigaDevice sources confirm SPI NOR, SPI NAND and DRAM products."
GlobalFoundries Inc.,,公司,SEMI WFF lists GlobalFoundries capacity.
"GlobalWafers Co., Ltd.",,公司,Official GlobalWafers pages confirm silicon wafer products.
Hua Hong Semiconductor Limited,,公司,SEMI WFF lists Hua Hong Semiconductor capacity/spending.
Hua Li Microelectronics Corporation,,公司,SEMI WFF lists Hua Li Microelectronics capacity/spending.
"Huawei Technologies Co., Ltd.",,公司,Official Huawei sources confirm Ascend/Atlas AI computing products.
"IBIDEN Co., Ltd.",,公司,Official Ibiden pages confirm flip-chip IC package substrates.
Infineon Technologies AG,,公司,Official Infineon sources confirm SEMPER NOR flash products; SEMI WFF lists Infineon capacity/spending.
Intel Corporation,,公司,Official company/product sources confirm Intel Gaudi AI accelerator products; SEMI WFF also lists Intel capacity/spending.
Isola Group,,公司,Official Isola pages confirm PCB laminate and prepreg materials.
"JCET Group Co., Ltd.",,公司,Official/company-profile sources confirm semiconductor packaging and test services.
KIOXIA Corporation,,公司,Official Kioxia sources confirm BiCS FLASH and NAND flash products; SEMI WFF lists Kioxia/WD flash capacity.
KLA Corporation,,公司,"Official KLA pages confirm process control, inspection and metrology systems."
Kingboard Laminates Holdings Ltd.,,公司,Official Kingboard Laminates site confirms laminate products.
Lam Research Corporation,,公司,"Official Lam Research pages confirm etch, deposition, strip and clean semiconductor equipment."
"Macronix International Co., Ltd.",,公司,Official Macronix sources confirm serial and parallel NOR flash products.
"MetaX Integrated Circuits (Shanghai) Co., Ltd.",,公司,Official MetaX sources confirm GPU chips and accelerator card products.
Micron Technology Inc.,,公司,"Official Micron sources confirm DDR5, HBM3E, GDDR7 and NAND portfolio; SEMI WFF lists Micron memory capacity."
"Mitsui Mining & Smelting Co., Ltd.",,公司,Official Mitsui Kinzoku engineered materials page confirms electrolytic copper foil.
"Murata Manufacturing Co., Ltd.",,公司,Official Murata pages confirm ceramic capacitor / MLCC products.
