sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory
ChangXin Memory Technologies Inc.,CXMT DDR5,公司生产供给DRAM,公司,DRAM,生产供给
ChangXin Memory Technologies Inc.,CXMT LPDDR5/5X,公司生产供给DRAM,公司,DRAM,生产供给
GigaDevice Semiconductor Inc.,GigaDevice DDR4 SDRAM,公司生产供给DRAM,公司,DRAM,生产供给
GigaDevice Semiconductor Inc.,GigaDevice niche DRAM,公司生产供给DRAM,公司,DRAM,生产供给
Micron Technology Inc.,Micron DDR5 SDRAM,公司生产供给DRAM,公司,DRAM,生产供给
Micron Technology Inc.,Micron DDR5 memory,公司生产供给DRAM,公司,DRAM,生产供给
Micron Technology Inc.,Micron GDDR7 graphics memory,公司生产供给DRAM,公司,DRAM,生产供给
Nanya Technology Corporation,Nanya DDR5 DRAM,公司生产供给DRAM,公司,DRAM,生产供给
Nanya Technology Corporation,Nanya LPDDR5/5X DRAM,公司生产供给DRAM,公司,DRAM,生产供给
SK hynix Inc.,SK hynix DDR5 DRAM,公司生产供给DRAM,公司,DRAM,生产供给
SK hynix Inc.,SK hynix LPDDR5T DRAM,公司生产供给DRAM,公司,DRAM,生产供给
Samsung Electronics Co. Ltd.,Samsung DDR5 DRAM,公司生产供给DRAM,公司,DRAM,生产供给
Samsung Electronics Co. Ltd.,Samsung DRAM,公司生产供给DRAM,公司,DRAM,生产供给
Samsung Electronics Co. Ltd.,Samsung GDDR7 DRAM,公司生产供给DRAM,公司,DRAM,生产供给
