sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory
Advanced Micro Devices Inc.,AMD Instinct MI300X,公司生产供给GPU,公司,GPU,生产供给
Advanced Micro Devices Inc.,AMD Instinct MI325X,公司生产供给GPU,公司,GPU,生产供给
Advanced Micro Devices Inc.,AMD Instinct MI350 Series,公司生产供给GPU,公司,GPU,生产供给
"MetaX Integrated Circuits (Shanghai) Co., Ltd.",MetaX C500 GPU accelerator,公司生产供给GPU,公司,GPU,生产供给
"MetaX Integrated Circuits (Shanghai) Co., Ltd.",MetaX N100 GPU accelerator,公司生产供给GPU,公司,GPU,生产供给
"MetaX Integrated Circuits (Shanghai) Co., Ltd.",MetaX N260 GPU accelerator,公司生产供给GPU,公司,GPU,生产供给
NVIDIA Corporation,NVIDIA B200 Tensor Core GPU,公司生产供给GPU,公司,GPU,生产供给
NVIDIA Corporation,NVIDIA Blackwell Ultra GPU,公司生产供给GPU,公司,GPU,生产供给
NVIDIA Corporation,NVIDIA H100 Tensor Core GPU,公司生产供给GPU,公司,GPU,生产供给
NVIDIA Corporation,NVIDIA H200 Tensor Core GPU,公司生产供给GPU,公司,GPU,生产供给
NVIDIA Corporation,NVIDIA Rubin GPU,公司生产供给GPU,公司,GPU,生产供给
