sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory
Advanced Micro Devices Inc.,AMD Instinct MI325X,公司生产供给推理加速器,公司,推理加速器,生产供给
Advanced Micro Devices Inc.,AMD Instinct MI350 Series,公司生产供给推理加速器,公司,推理加速器,生产供给
Cambricon Technologies Corporation Limited,Cambricon MLU370-S4,公司生产供给推理加速器,公司,推理加速器,生产供给
Cambricon Technologies Corporation Limited,Cambricon MLU370-S4 cloud inference AI accelerator,公司生产供给推理加速器,公司,推理加速器,生产供给
Cambricon Technologies Corporation Limited,Cambricon MLU370-X4,公司生产供给推理加速器,公司,推理加速器,生产供给
"Huawei Technologies Co., Ltd.",Huawei Ascend 310 AI Processor,公司生产供给推理加速器,公司,推理加速器,生产供给
"Huawei Technologies Co., Ltd.",Huawei Ascend 910 AI Processor,公司生产供给推理加速器,公司,推理加速器,生产供给
Intel Corporation,Intel Gaudi 3 AI Accelerator,公司生产供给推理加速器,公司,推理加速器,生产供给
NVIDIA Corporation,NVIDIA B200 Tensor Core GPU,公司生产供给推理加速器,公司,推理加速器,生产供给
NVIDIA Corporation,NVIDIA H200 Tensor Core GPU,公司生产供给推理加速器,公司,推理加速器,生产供给
