sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory
Episil-Precision Inc.,Episil-Precision foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
GlobalFoundries Inc.,GlobalFoundries manufacturing services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
Hua Hong Semiconductor Limited,Hua Hong Grace specialty foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
Hua Li Microelectronics Corporation,HLMC wafer foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
Intel Corporation,Intel Foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
Nexchip Semiconductor Corporation,Nexchip foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
Powerchip Semiconductor Manufacturing Corporation,PSMC foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
Samsung Electronics Co. Ltd.,Samsung Foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
Semiconductor Manufacturing International Corporation,SMIC IC foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
Taiwan Semiconductor Manufacturing Company Limited,TSMC dedicated IC foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
United Microelectronics Corporation,UMC specialty foundry services,公司生产供给晶圆代工,公司,晶圆代工,生产供给
