sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory
Advanced Micro Devices Inc.,AMD Instinct MI300X,公司生产供给训练加速器,公司,训练加速器,生产供给
Advanced Micro Devices Inc.,AMD Instinct MI325X,公司生产供给训练加速器,公司,训练加速器,生产供给
Advanced Micro Devices Inc.,AMD Instinct MI350 Series,公司生产供给训练加速器,公司,训练加速器,生产供给
Cambricon Technologies Corporation Limited,Cambricon MLU370-X8,公司生产供给训练加速器,公司,训练加速器,生产供给
Cambricon Technologies Corporation Limited,Cambricon MLU370-X8 cloud training AI accelerator,公司生产供给训练加速器,公司,训练加速器,生产供给
"Huawei Technologies Co., Ltd.",Huawei Ascend 910 AI Processor,公司生产供给训练加速器,公司,训练加速器,生产供给
"Huawei Technologies Co., Ltd.",Huawei Ascend 910C AI Processor,公司生产供给训练加速器,公司,训练加速器,生产供给
Intel Corporation,Intel Gaudi 3 AI Accelerator,公司生产供给训练加速器,公司,训练加速器,生产供给
"MetaX Integrated Circuits (Shanghai) Co., Ltd.",MetaX C500 GPU accelerator,公司生产供给训练加速器,公司,训练加速器,生产供给
NVIDIA Corporation,NVIDIA B200 Tensor Core GPU,公司生产供给训练加速器,公司,训练加速器,生产供给
NVIDIA Corporation,NVIDIA GB200 NVL72,公司生产供给训练加速器,公司,训练加速器,生产供给
NVIDIA Corporation,NVIDIA H100 Tensor Core GPU,公司生产供给训练加速器,公司,训练加速器,生产供给
NVIDIA Corporation,NVIDIA H200 Tensor Core GPU,公司生产供给训练加速器,公司,训练加速器,生产供给
