nameCn,nameEn,objectTypeName,description
Episil-Precision foundry services,,晶圆代工,Foundry capacity listed in SEMI WFF.
GlobalFoundries manufacturing services,,晶圆代工,Foundry/manufacturing services provided by GlobalFoundries.
HLMC wafer foundry services,,晶圆代工,Wafer foundry services provided by Shanghai Huali Microelectronics.
Hua Hong Grace specialty foundry services,,晶圆代工,Pure-play foundry services using specialty technologies.
Intel Foundry services,,晶圆代工,Systems foundry and semiconductor manufacturing services from Intel Foundry.
Nexchip foundry services,,晶圆代工,Foundry capacity and semiconductor manufacturing services listed in SEMI WFF.
PSMC foundry services,,晶圆代工,Foundry capacity and semiconductor manufacturing services listed in SEMI WFF.
SMIC IC foundry services,,晶圆代工,Integrated circuit foundry and technology services provided by SMIC.
Samsung Foundry services,,晶圆代工,"Foundry process, design technology, IP and high-volume manufacturing services."
TSMC dedicated IC foundry services,,晶圆代工,Dedicated IC foundry services provided by TSMC.
UMC specialty foundry services,,晶圆代工,Logic and specialty IC fabrication services provided by UMC.
