nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value
AOS 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,40,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,AOS,,
AOS 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,44,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,AOS,,
Acenpower 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,205,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Acenpower,,
Analog Devices Inc 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,534.2,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Analog Devices Inc,,
"Anhui Anxin Electronic Technology Co., Ltd. 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,66,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Anhui Anxin Electronic Technology Co., Ltd.",,
Anhui YOFC Advanced Semiconductor (YASC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,200,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Anhui YOFC Advanced Semiconductor (YASC),,
Aosong Electronics (ASAIR) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,120.32,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Aosong Electronics (ASAIR),,
Apple Inc. 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Apple Inc.,,
BYD Co. Ltd 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,529.5999999999999,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,BYD Co. Ltd,,
Beijing MXTronics Corp. 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Beijing MXTronics Corp.,,
