"nameCn","generatedId","sourceNameEn","strategy"
"公司","company","company","nameEn"
"产品","product","product","nameEn"
"PCB","printed_circuit_board","printed_circuit_board","nameEn"
"传感器与执行器","sensor_and_actuator","sensor_and_actuator","nameEn"
"CMOS图像传感器","cmos_image_sensor","cmos_image_sensor","nameEn"
"MEMS麦克风","mems_microphone","mems_microphone","nameEn"
"加速度传感器","accelerometer","accelerometer","nameEn"
"压力传感器","pressure_sensor","pressure_sensor","nameEn"
"惯性测量单元","inertial_measurement_unit","inertial_measurement_unit","nameEn"
"温湿度传感器","temperature_humidity_sensor","temperature_humidity_sensor","nameEn"
"磁传感器","magnetic_sensor","magnetic_sensor","nameEn"
"陀螺仪","gyroscope","gyroscope","nameEn"
"光电子器件","optoelectronic_device","optoelectronic_device","nameEn"
"LED","led","led","nameEn"
"光电二极管","photodiode","photodiode","nameEn"
"光电晶体管","phototransistor","phototransistor","nameEn"
"光耦","optocoupler","optocoupler","nameEn"
"激光二极管","laser_diode","laser_diode","nameEn"
"分立器件","discrete_device","discrete_device","nameEn"
"二极管","diode","diode","nameEn"
"SiC二极管","sic_diode","sic_diode","nameEn"
"TVS二极管","tvs_diode","tvs_diode","nameEn"
"肖特基二极管","schottky_diode","schottky_diode","nameEn"
"齐纳二极管","zener_diode","zener_diode","nameEn"
"功率晶体管","power_transistor","power_transistor","nameEn"
"GaN HEMT","gan_hemt","gan_hemt","nameEn"
"IGBT","igbt","igbt","nameEn"
"MOSFET","mosfet","mosfet","nameEn"
"SiC MOSFET","sic_mosfet","sic_mosfet","nameEn"
"小信号晶体管","small_signal_transistor","small_signal_transistor","nameEn"
"整流器","rectifier","rectifier","nameEn"
"晶闸管","thyristor","thyristor","nameEn"
"存储","memory","memory","nameEn"
"DRAM","dram","dram","nameEn"
"HBM","high_bandwidth_memory","high_bandwidth_memory","nameEn"
"NAND Flash","nand_flash","nand_flash","nameEn"
"NOR Flash","nor_flash","nor_flash","nameEn"
"微元件","microcomponents","microcomponents","nameEn"
"CPU","central_processing_unit","central_processing_unit","nameEn"
"DSP","digital_signal_processor","digital_signal_processor","nameEn"
"散热组件","thermal_component","thermal_component","nameEn"
"模拟","analog","analog","nameEn"
"射频模拟IC","rf_analog_ic","rf_analog_ic","nameEn"
"接口IC","interface_ic","interface_ic","nameEn"
"放大器","amplifier_ic","amplifier_ic","nameEn"
"数据转换器","data_converter","data_converter","nameEn"
"时钟与定时IC","clock_and_timing_ic","clock_and_timing_ic","nameEn"
"比较器","comparator_ic","comparator_ic","nameEn"
"电源管理IC","power_management_ic","power_management_ic","nameEn"
"电源模块","power_module","power_module","nameEn"
"被动元件","passive_component","passive_component","nameEn"
"MLCC","mlcc","mlcc","nameEn"
"电感","inductor","inductor","nameEn"
"电阻","resistor","resistor","nameEn"
"逻辑","logic","logic","nameEn"
"AI加速器","ai_accelerator","ai_accelerator","nameEn"
"NPU","neural_processing_unit","neural_processing_unit","nameEn"
"推理加速器","inference_accelerator","inference_accelerator","nameEn"
"训练加速器","training_accelerator","training_accelerator","nameEn"
"边缘AI加速器","edge_ai_accelerator","edge_ai_accelerator","nameEn"
"ASIC","application_specific_integrated_circuit","application_specific_integrated_circuit","nameEn"
"CPLD","complex_programmable_logic_device","complex_programmable_logic_device","nameEn"
"FPGA","field_programmable_gate_array","field_programmable_gate_array","nameEn"
"GPU","graphics_processing_unit","graphics_processing_unit","nameEn"
"SoC","system_on_chip","system_on_chip","nameEn"
"微控制器","microcontroller","microcontroller","nameEn"
"网络芯片","network_chip","network_chip","nameEn"
